[12, 12, -3, 15],Repeat,11.2371
[12, 6, -15, 3],Repeat,2.5865
[15, 9, -6, 6],Repeat,14.9022
[3, 9, -12, 12],Repeat,20.3610
[12, 9, -12, 9],Repeat,4.3770
[3, 9, -12, 12],Victory
[12, 9, -12, 9],Repeat,8.8295
[15, 9, -6, 6],Timeout
[6, 15, -15, 12],Repeat,13.3467
[12, 12, -9, 6],Repeat,19.8954
[12, 6, -12, 6],Repeat,35.3439
[6, 15, -15, 12],Repeat,15.7750
[12, 6, -12, 6],Repeat,24.9492
[12, 12, -9, 6],Timeout
[15, 6, -12, 6],Victory
[15, 15, -3, 9],Repeat,10.2149
[9, 15, -9, 9],Repeat,7.0791
[15, 6, -12, 6],Victory
[15, 15, -3, 9],Victory
[12, 3, -15, 15],Repeat,3.0051
[12, 6, -3, 12],Repeat,52.1072
[12, 6, -6, 15],Repeat,7.5765
[12, 9, -15, 9],Repeat,3.2363
[9, 15, -9, 9],Repeat,33.7398
[9, 6, -3, 15],Repeat,17.6338
[3, 3, -15, 3],Victory
[12, 3, -15, 15],Timeout
[9, 6, -3, 15],Repeat,19.7615
[6, 12, -3, 3],Repeat,7.0361
[12, 3, -9, 9],Repeat,12.8198
[6, 15, -6, 12],Repeat,7.8436
[3, 12, -3, 15],Repeat,12.2471
[12, 3, -9, 9],Repeat,3.5911
[3, 3, -15, 3],Repeat,12.0014
[9, 3, -6, 9],Repeat,18.9936
[15, 15, -3, 15],Repeat,7.1794
[6, 15, -6, 12],Repeat,14.0633
[12, 3, -12, 9],Repeat,4.2377
[12, 3, -12, 9],Timeout
[12, 12, -12, 3],Timeout
[3, 6, -12, 12],Timeout
[12, 6, -6, 3],Victory
[15, 15, -3, 15],Repeat,10.9291
[15, 3, -3, 3],Repeat,20.6503
[3, 12, -3, 6],Repeat,23.8146
[3, 6, -9, 9],Repeat,41.7136
[12, 6, -6, 3],Victory
[15, 3, -3, 3],Timeout
[12, 12, -6, 3],Victory
[9, 9, -15, 15],Repeat,7.0749
[6, 3, -12, 12],Timeout
[12, 12, -6, 3],Repeat,13.7989
[6, 3, -12, 12],Repeat,24.2699
[6, 3, -6, 15],Timeout
[12, 3, -6, 9],Timeout
[3, 9, -12, 3],Victory
[6, 6, -15, 6],Victory
[9, 9, -15, 15],Timeout
[3, 9, -12, 3],Repeat,17.9824
[6, 6, -15, 6],Repeat,2.2372
[9, 3, -9, 9],Repeat,18.4997
[6, 15, -6, 3],Repeat,18.3015
[6, 12, -3, 9],Repeat,13.1728
[6, 12, -12, 9],Victory
[15, 9, -3, 12],Repeat,3.1084
[15, 6, -6, 15],Timeout
[9, 3, -9, 9],Timeout
[15, 6, -6, 15],Repeat,7.6225
[15, 9, -3, 12],Timeout
[12, 12, -6, 15],Victory
[9, 12, -3, 12],Timeout
[9, 3, -15, 15],Timeout
[12, 12, -6, 15],Timeout
[9, 12, -3, 12],Timeout
[9, 3, -15, 15],Timeout
[6, 3, -9, 12],Timeout
[15, 15, -15, 9],Timeout
[15, 15, -15, 9],Victory
[12, 12, -3, 12],Victory
[3, 9, -12, 6],Victory
[15, 12, -6, 3],Repeat,41.6152
[12, 12, -3, 12],Victory
[6, 3, -9, 12],Victory
[3, 9, -12, 6],Repeat,38.2448
[12, 3, -12, 6],Repeat,4.6832
[12, 3, -12, 6],Repeat,15.1102
[12, 15, -6, 6],Timeout
[6, 6, -12, 12],Timeout
[3, 6, -3, 6],Timeout
[15, 6, -9, 15],Timeout
